Video Time (hh:min:sec.millis),Face Id,Face name,Frame index,Angry,Contempt,Disgust,Fear,Happy,Neutral,Sad,Surprise,Dominant Emotion,Arousal,Valence,Intensity
00:00:02:496,1,Face 1,74,0.0726,0.0166,0.0120,0.0113,0.1752,0.5356,0.0205,0.1562,neutral,0.00,0.00,0.00
00:00:02:529,1,Face 1,75,0.0517,0.0152,0.0120,0.0106,0.5019,0.1991,0.0085,0.2010,happy,0.00,0.00,0.01
00:00:02:563,1,Face 1,76,0.0716,0.0239,0.0389,0.0040,0.5795,0.1597,0.0061,0.1162,happy,0.00,0.00,0.01
00:00:02:597,1,Face 1,77,0.0258,0.0386,0.0102,0.0021,0.6686,0.1845,0.0053,0.0649,happy,0.00,0.01,0.01
00:00:02:630,1,Face 1,78,0.0100,0.0474,0.0103,0.0015,0.2776,0.5872,0.0213,0.0447,neutral,0.00,0.00,0.00
00:00:02:664,1,Face 1,79,0.0110,0.0307,0.0018,0.0034,0.0402,0.8513,0.0428,0.0187,neutral,0.00,-0.00,0.00
00:00:02:698,1,Face 1,80,0.0114,0.0433,0.0051,0.0017,0.1868,0.7054,0.0307,0.0157,neutral,0.00,0.00,0.00
00:00:02:732,1,Face 1,81,0.0119,0.0357,0.0039,0.0053,0.1282,0.7532,0.0105,0.0514,neutral,0.00,0.00,0.00
00:00:02:765,1,Face 1,82,0.0018,0.0317,0.0035,0.0013,0.7879,0.1451,0.0006,0.0280,happy,0.00,0.01,0.01
00:00:02:799,1,Face 1,83,0.0018,0.0356,0.0015,0.0016,0.8590,0.0743,0.0007,0.0255,happy,0.00,0.01,0.01
00:00:02:833,1,Face 1,84,0.0038,0.0222,0.0011,0.0004,0.9142,0.0407,0.0006,0.0170,happy,0.00,0.01,0.01
00:00:02:867,1,Face 1,85,0.0015,0.0270,0.0004,0.0002,0.9466,0.0150,0.0003,0.0090,happy,0.00,0.01,0.01
00:00:02:900,1,Face 1,86,0.0011,0.0215,0.0006,0.0001,0.9585,0.0107,0.0002,0.0074,happy,0.00,0.01,0.01
00:00:02:934,1,Face 1,87,0.0018,0.0246,0.0010,0.0003,0.9396,0.0153,0.0008,0.0166,happy,0.00,0.01,0.01
00:00:02:968,1,Face 1,88,0.0054,0.0352,0.0016,0.0011,0.7481,0.1882,0.0053,0.0152,happy,0.00,0.01,0.01
00:00:03:001,1,Face 1,89,0.0123,0.0851,0.0072,0.0027,0.4809,0.3600,0.0225,0.0293,happy,0.00,0.00,0.00
00:00:03:035,1,Face 1,90,0.0118,0.1310,0.0033,0.0027,0.2523,0.5412,0.0318,0.0259,neutral,0.00,0.00,0.00
00:00:03:069,1,Face 1,91,0.0130,0.0583,0.0028,0.0028,0.1132,0.7392,0.0397,0.0310,neutral,0.00,0.00,0.00
00:00:03:103,1,Face 1,92,0.0135,0.0133,0.0026,0.0035,0.0300,0.8422,0.0562,0.0387,neutral,0.00,-0.00,0.00
00:00:03:136,1,Face 1,93,0.0226,0.0290,0.0079,0.0107,0.1551,0.5246,0.0442,0.2060,neutral,0.00,0.00,0.00
00:00:03:170,1,Face 1,94,0.0342,0.0459,0.0078,0.0132,0.0989,0.6732,0.0344,0.0924,neutral,0.00,0.00,0.00
00:00:03:204,1,Face 1,95,0.0205,0.0235,0.0054,0.0067,0.1066,0.5988,0.0436,0.1949,neutral,0.00,0.00,0.00
00:00:03:238,1,Face 1,96,0.0158,0.0423,0.0017,0.0038,0.0686,0.7682,0.0371,0.0624,neutral,0.00,0.00,0.00
00:00:03:271,1,Face 1,97,0.0142,0.0525,0.0018,0.0040,0.0953,0.7490,0.0314,0.0519,neutral,0.00,0.00,0.00
00:00:03:305,1,Face 1,98,0.0146,0.0945,0.0031,0.0022,0.3997,0.4217,0.0273,0.0369,neutral,0.00,0.00,0.00
00:00:03:339,1,Face 1,99,0.0215,0.1447,0.0021,0.0030,0.2581,0.4863,0.0329,0.0513,neutral,0.00,0.00,0.00
00:00:03:372,1,Face 1,100,0.0188,0.1224,0.0025,0.0007,0.3222,0.4871,0.0373,0.0090,neutral,0.00,0.00,0.00
00:00:03:406,1,Face 1,101,0.0206,0.0617,0.0044,0.0014,0.3551,0.5054,0.0335,0.0179,neutral,0.00,0.00,0.00
00:00:03:440,1,Face 1,102,0.0151,0.0373,0.0063,0.0035,0.5059,0.3677,0.0201,0.0440,happy,0.00,0.00,0.00
00:00:03:474,1,Face 1,103,0.0156,0.0300,0.0072,0.0027,0.6516,0.2005,0.0117,0.0807,happy,0.00,0.01,0.01
00:00:03:507,1,Face 1,104,0.0207,0.0437,0.0123,0.0060,0.4012,0.3761,0.0132,0.1269,happy,0.00,0.00,0.00
00:00:03:541,1,Face 1,105,0.0150,0.0403,0.0041,0.0039,0.2439,0.5831,0.0166,0.0931,neutral,0.00,0.00,0.00
00:00:03:575,1,Face 1,106,0.0157,0.0172,0.0035,0.0017,0.1796,0.7316,0.0076,0.0431,neutral,0.00,0.00,0.00
00:00:03:609,1,Face 1,107,0.0073,0.0127,0.0016,0.0007,0.4750,0.4880,0.0017,0.0130,neutral,0.00,0.00,0.00
00:00:03:642,1,Face 1,108,0.0003,0.0139,0.0003,0.0001,0.9715,0.0113,0.0001,0.0024,happy,0.00,0.01,0.01
00:00:03:676,1,Face 1,109,0.0002,0.0027,0.0002,0.0000,0.9882,0.0069,0.0000,0.0017,happy,0.00,0.01,0.01
00:00:03:912,1,Face 1,116,0.0004,0.0029,0.0003,0.0003,0.9844,0.0045,0.0002,0.0071,happy,0.00,0.01,0.01
00:00:03:946,1,Face 1,117,0.0000,0.0008,0.0000,0.0000,0.9941,0.0001,0.0000,0.0049,happy,0.00,0.01,0.01
00:00:03:980,1,Face 1,118,0.0001,0.0002,0.0000,0.0000,0.9950,0.0000,0.0000,0.0047,happy,0.00,0.01,0.01
00:00:04:013,1,Face 1,119,0.0003,0.0002,0.0001,0.0003,0.9807,0.0000,0.0000,0.0184,happy,0.00,0.01,0.01
00:00:04:047,1,Face 1,120,0.0002,0.0007,0.0001,0.0003,0.9871,0.0002,0.0001,0.0113,happy,0.00,0.01,0.01
00:00:04:081,1,Face 1,121,0.0001,0.0029,0.0002,0.0002,0.9848,0.0003,0.0000,0.0115,happy,0.00,0.01,0.01
00:00:04:115,1,Face 1,122,0.0002,0.0020,0.0001,0.0005,0.9876,0.0006,0.0003,0.0087,happy,0.00,0.01,0.01
00:00:04:148,1,Face 1,123,0.0001,0.0008,0.0001,0.0001,0.9948,0.0003,0.0001,0.0036,happy,0.00,0.01,0.01
00:00:04:182,1,Face 1,124,0.0001,0.0007,0.0003,0.0000,0.9966,0.0001,0.0001,0.0021,happy,0.00,0.01,0.01
00:00:04:216,1,Face 1,125,0.0003,0.0011,0.0008,0.0001,0.9947,0.0006,0.0005,0.0020,happy,0.00,0.01,0.01
00:00:04:249,1,Face 1,126,0.0001,0.0019,0.0005,0.0001,0.9953,0.0002,0.0003,0.0015,happy,0.00,0.01,0.01
00:00:04:283,1,Face 1,127,0.0000,0.0007,0.0001,0.0000,0.9985,0.0000,0.0000,0.0006,happy,0.00,0.01,0.01
